Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
11,Entry long,2024-04-05 06:00,S2_LE,2290.152,4.3,9847.6536,196.95,2.00,274.72,2.79,-98.26,-1.00,689.64,6.90
12,Exit long,2024-04-12 11:30,S2_LX_TP1,2382.986,4.2,9812.3004,196.24,2.00,248.25,2.53,-74.29,-0.76,885.88,8.86
12,Entry long,2024-04-08 17:00,S2_LE,2336.262,4.2,9812.3004,196.24,2.00,248.25,2.53,-74.29,-0.76,885.88,8.86
13,Exit long,2024-04-13 00:30,S2_SL,2372.654,4.1,9826.1502,-98.27,-1.00,144.15,1.47,-98.27,-1.00,787.62,7.88
13,Entry long,2024-04-12 17:00,S2_LE,2396.622,4.1,9826.1502,-98.27,-1.00,144.15,1.47,-98.27,-1.00,787.62,7.88
14,Exit long,2024-04-15 22:00,S2_SL,2334.172,4.2,9902.5542,-99.03,-1.00,20.37,0.21,-99.03,-1.00,688.58,6.89
14,Entry long,2024-04-15 12:30,S2_LE,2357.751,4.2,9902.5542,-99.03,-1.00,20.37,0.21,-99.03,-1.00,688.58,6.89
15,Exit long,2024-04-19 10:30,S2_LX_TP1,2398.269,4.2,9875.2332,197.5,2.00,279.9,2.83,-27.81,-0.28,886.08,8.86
15,Entry long,2024-04-15 23:30,S2_LE,2351.246,4.2,9875.2332,197.5,2.00,279.9,2.83,-27.81,-0.28,886.08,8.86
16,Exit long,2024-04-22 20:00,S2_SL,2337.493,4.2,9916.6452,-99.17,-1.00,1.4,0.01,-99.17,-1.00,786.91,7.87
16,Entry long,2024-04-22 18:00,S2_LE,2361.106,4.2,9916.6452,-99.17,-1.00,1.4,0.01,-99.17,-1.00,786.91,7.87
17,Exit long,2024-04-23 09:30,S2_SL,2316.892,4.2,9829.2432,-98.3,-1.00,14.6,0.15,-98.3,-1.00,688.61,6.89
17,Entry long,2024-04-22 22:30,S2_LE,2340.296,4.2,9829.2432,-98.3,-1.00,14.6,0.15,-98.3,-1.00,688.61,6.89
18,Exit long,2024-04-30 21:00,S2_SL,2303.581,4.2,9772.7742,-97.73,-1.00,107.94,1.10,-97.73,-1.00,590.87,5.91
18,Entry long,2024-04-24 15:00,S2_LE,2326.851,4.2,9772.7742,-97.73,-1.00,107.94,1.10,-97.73,-1.00,590.87,5.91
19,Exit long,2024-05-09 22:30,S2_LX_TP1,2331.567,4.3,9829.1593,196.58,2.00,227.69,2.32,-37.72,-0.38,787.45,7.87
19,Entry long,2024-05-01 16:00,S2_LE,2285.851,4.3,9829.1593,196.58,2.00,227.69,2.32,-37.72,-0.38,787.45,7.87
20,Exit long,2024-05-15 23:30,S2_LX_TP1,2379.956,4.2,9799.8264,195.99,2.00,220.32,2.25,-21.83,-0.22,983.44,9.83
20,Entry long,2024-05-09 23:00,S2_LE,2333.292,4.2,9799.8264,195.99,2.00,220.32,2.25,-21.83,-0.22,983.44,9.83
21,Exit long,2024-05-20 14:30,S2_LX_TP1,2437.894,4.1,9799.3854,195.98,2.00,246.02,2.51,-79.52,-0.81,1179.42,11.79
21,Entry long,2024-05-16 10:30,S2_LE,2390.094,4.1,9799.3854,195.98,2.00,246.02,2.51,-79.52,-0.81,1179.42,11.79
